committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00581934,REFORM AMERICA FUND,2016,24,201611019037017204,24,1121895,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY,2016-10-20 00:00:00,2016-10-30 00:00:00,45773.00,2481249.33,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-11-01 00:00:00,,,,,,LORRI,,PICKENS,E2146F8A1A6F34B32965,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4110120161345660001,4110120161345668187,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201611019037017204
C00581934,REFORM AMERICA FUND,2016,24,201611039037112288,24,1123342,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY,2016-11-01 00:00:00,2016-11-01 00:00:00,37500.00,3178680.86,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-11-03 00:00:00,,,,,,LORRI,,PICKENS,E50191C4D55E94039954,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4110320161345853630,4110320161345869787,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201611039037112288
C00581934,REFORM AMERICA FUND,2016,48,201610189033026932,24,1109758,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY AND PRODUCTION,2016-10-14 00:00:00,2016-10-17 00:00:00,90131.25,1296617.34,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-18 00:00:00,,,,,,LORRI,,PICKENS,ED4309E3AECFD4A51A4D,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820161343878417,4101820161343887391,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610189033026932
C00581934,REFORM AMERICA FUND,2016,48,201610189033026932,24,1109758,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY AND PRODUCTION,2016-10-13 00:00:00,2016-10-17 00:00:00,1199212.30,1296617.34,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-18 00:00:00,,,,,,LORRI,,PICKENS,E7CB3267CC8CA4A41ABF,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820161343878417,4101820161343887389,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610189033026932
C00581934,REFORM AMERICA FUND,2016,48,201610189033026933,24,1109758,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY AND PRODUCTION,2016-10-15 00:00:00,2016-10-17 00:00:00,7273.79,1296617.34,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-18 00:00:00,,,,,,LORRI,,PICKENS,ECC5F00767ED144F9BB7,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101820161343878417,4101820161343887393,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610189033026933
C00581934,REFORM AMERICA FUND,2016,24,201610219034500702,24,1112375,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY AND PRODUCTION,2016-10-18 00:00:00,2016-10-20 00:00:00,28500.00,1325117.34,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-21 00:00:00,,,,,,LORRI,,PICKENS,EAE9A6B19653F4701B3B,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120161344422008,4102120161344435369,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610219034500702
C00581934,REFORM AMERICA FUND,2016,24,201611039037112289,24,1123342,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY,2016-11-01 00:00:00,2016-11-01 00:00:00,37500.00,3178680.86,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-11-03 00:00:00,,,,,,LORRI,,PICKENS,E4A4F302E0E5F48C9B26,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4110320161345853630,4110320161345869793,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201611039037112289
C00581934,REFORM AMERICA FUND,2016,24,201610259034576579,24,1115035,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA PRODUCTION,2016-10-24 00:00:00,2016-10-24 00:00:00,10667.80,1783081.14,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-25 00:00:00,,,,,,LORRI,,PICKENS,E9A00E4A59A1749948AE,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620161345280313,4102620161345287269,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610259034576579
C00581934,REFORM AMERICA FUND,2016,24,201610259034576579,24,1115035,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY,2016-10-20 00:00:00,2016-10-24 00:00:00,447296.00,1783081.14,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-25 00:00:00,,,,,,LORRI,,PICKENS,E30EA0CC54A7146E7888,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620161345280313,4102620161345287271,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610259034576579
C00581934,REFORM AMERICA FUND,2016,24,201610279036685128,24,1118831,NONBOX,,,,5307 S 92ND ST,,HALES CORNERS,WI,531301677,MEDIA BUY,2016-10-20 00:00:00,2016-10-26 00:00:00,207746.00,1990827.14,,,O,,,S8WI00026,"FEINGOLD, RUSS",,RUSS,,FEINGOLD,,S,WI,,,,,,,,,G2016,,"PICKENS, LORRI",2016-10-27 00:00:00,,,,,,LORRI,,PICKENS,EBAC371A4D59340C8994,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720161345535333,4102720161345548936,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201610279036685128
